Trigger Time,Type,Sigma,Normalised Duration,Max Count,source
1043872228,,-1.0,,-1.0,integral
1043872907,,-1.0,,-1.0,integral
1043881449,,-1.0,,-1.0,integral
1043881475,,-1.0,,-1.0,integral
1043893487,,-1.0,,-1.0,integral
1043909233,,-1.0,,-1.0,integral
1043909495,,-1.0,,-1.0,integral
1043959591,,-1.0,,-1.0,integral
1043964350,,-1.0,,-1.0,integral
1043998740,,-1.0,,-1.0,integral
1043998759,,-1.0,,-1.0,integral
1044003310,,-1.0,,-1.0,integral
1044007832,,-1.0,,-1.0,integral
1044021330,,-1.0,,-1.0,integral
1044024170,,-1.0,,-1.0,integral
1044032700,,-1.0,,-1.0,integral
1044032879,,-1.0,,-1.0,integral
1044095682,,-1.0,,-1.0,integral
1044097519,,-1.0,,-1.0,integral
1044099561,,-1.0,,-1.0,integral
1044100392,,-1.0,,-1.0,integral
1044112432,,-1.0,,-1.0,integral
1044113097,,-1.0,,-1.0,integral
1044114845,,-1.0,,-1.0,integral
1044123273,,-1.0,,-1.0,integral
1044124306,,-1.0,,-1.0,integral
1044124450,,-1.0,,-1.0,integral
1044124936,,-1.0,,-1.0,integral
1044126365,,-1.0,,-1.0,integral
1044126873,,-1.0,,-1.0,integral
1044126899,,-1.0,,-1.0,integral
1044126901,,-1.0,,-1.0,integral
1044127920,,-1.0,,-1.0,integral
1044132814,,-1.0,,-1.0,integral
1044133233,,-1.0,,-1.0,integral
1044150729,,-1.0,,-1.0,integral
1044165511,,-1.0,,-1.0,integral
1044166512,,-1.0,,-1.0,integral
1044171447,,-1.0,,-1.0,integral
1044182673,,-1.0,,-1.0,integral
1044183301,,-1.0,,-1.0,integral
1044206460,,-1.0,,-1.0,integral
1044225390,,-1.0,,-1.0,integral
1044226213,,-1.0,,-1.0,integral
1044246463,,-1.0,,-1.0,integral
1044251442,,-1.0,,-1.0,integral
1044254022,,-1.0,,-1.0,integral
