Top,Flux,Region,Start,Trigger Time,Links,
30,M8.2,9077,963126900,963127380,963127560,https://www.spaceweatherlive.com/en/archive/2000/07/09/xray.html
31,M7.97,9090,964189800,964190220,964190580,https://www.spaceweatherlive.com/en/archive/2000/07/21/xray.html
32,M7.96,9090,963712740,963712980,963713280,https://www.spaceweatherlive.com/en/archive/2000/07/16/xray.html
33,M7.49,9026,960655200,960656520,960657540,https://www.spaceweatherlive.com/en/archive/2000/06/10/xray.html
34,M7.33,9165,969350760,969351960,969352920,https://www.spaceweatherlive.com/en/archive/2000/09/19/xray.html
35,M7.27,9169,970381380,970383660,970385100,https://www.spaceweatherlive.com/en/archive/2000/10/01/xray.html
36,M7.17,9087,964124520,964124700,964124880,https://www.spaceweatherlive.com/en/archive/2000/07/20/xray.html
37,M6.41,9209,972782880,972784620,972785340,https://www.spaceweatherlive.com/en/archive/2000/10/29/xray.html
38,M6.36,9002,958378560,958381320,958382880,https://www.spaceweatherlive.com/en/archive/2000/05/15/xray.html
39,M6.27,9166,969766080,969766680,969767220,https://www.spaceweatherlive.com/en/archive/2000/09/24/xray.html
40,M6.23,9289,977931000,977931840,977932380,https://www.spaceweatherlive.com/en/archive/2000/12/27/xray.html
41,M6.14,8955,955793340,955793880,955794120,https://www.spaceweatherlive.com/en/archive/2000/04/15/xray.html
42,M6.04,9077,963315120,963315660,963316320,https://www.spaceweatherlive.com/en/archive/2000/07/11/xray.html
43,M5.9,9026,959928720,959929140,959929560,https://www.spaceweatherlive.com/en/archive/2000/06/02/xray.html
44,M5.89,8939,954497580,954497940,954498240,https://www.spaceweatherlive.com/en/archive/2000/03/31/xray.html
45,M5.83,8886,952080000,952080360,952080480,https://www.spaceweatherlive.com/en/archive/2000/03/03/xray.html
46,M5.64,8906,953423580,953423820,953338740,https://www.spaceweatherlive.com/en/archive/2000/03/18/xray.html
47,M5.64,8831,948215220,948216420,948217440,https://www.spaceweatherlive.com/en/archive/2000/01/18/xray.html
48,M5.53,8882,952049280,952049640,952050120,https://www.spaceweatherlive.com/en/archive/2000/03/03/xray.html
49,M5.37,9077,963582240,963582720,963583200,https://www.spaceweatherlive.com/en/archive/2000/07/14/xray.html
50,M5.33,9085,964264620,964265640,964267320,https://www.spaceweatherlive.com/en/archive/2000/07/22/xray.html
1,X28.57+,9393,986247120,986248260,986248980,https://www.spaceweatherlive.com/en/archive/2001/04/02/xray.html
2,X20.67+,9415,987340740,987342600,987342900,https://www.spaceweatherlive.com/en/archive/2001/04/15/xray.html
3,X8.9,9733,1008253200,1008253800,1008254100,https://www.spaceweatherlive.com/en/archive/2001/12/13/xray.html
4,X8.08,9415,986584200,986584860,986585460,https://www.spaceweatherlive.com/en/archive/2001/04/06/xray.html
5,X7.7,9591,998756580,998757900,998759040,https://www.spaceweatherlive.com/en/archive/2001/08/25/xray.html
6,X4.99,9767,1009569720,1009572300,1009575120,https://www.spaceweatherlive.com/en/archive/2001/12/28/xray.html
7,X4.02,9733,1008057480,1008058080,1008058440,https://www.spaceweatherlive.com/en/archive/2001/12/11/xray.html
