GRB Name;Trigger Time;BAT Ra;BAT Dec;BAT T90;BAT Fluence;XRTSpectral Index;Ra;Dec;Normalised Duration;source
130504A;1367625934.0;272.45918:09:50.2;-16.320-16:19:12;50;10+/-1;1.93992;272.641;-16.483;50;swift
130502B;1367473871.0;74.504:58:00;70.670:36:00;;;1.88806;74.55;71.306;;swift
130502A;1367509830.0;138.57909:14:19;-0.134-00:08:02.4;3.0;3.8+/-0.4;2.21006;138.671;-0.135;3.0;swift
130427B;1367061641.0;314.90020:59:36;-22.548-22:32:52.8;27.0;15+/-1;1.8144;315.11;-22.773;27.0;swift
130427A;1367041677.0;173.15011:32:36;27.70627:42:21.6;162.83;3100+/-30;1.78644;173.265;27.983;162.83;swift
130420B;1366455391.0;183.09512:12:22.8;54.37654:22:33.6;10.2;6.0+/-0.5;1.97752;183.217;54.92;10.2;swift
130420A;1366435709.0;196.11813:04:28.3;59.42159:25:15.6;123.5;71+/-3;2.29559;196.249;60.015;123.5;swift
130419A;1366371029.0;355.27823:41:06.7;9.90009:54:00;75.7;7.8+/-1.4;;355.515;9.999;75.7;swift
130418A;1366304453.0;149.04509:56:10.8;13.67413:40:26.4;>300;18+/-2;1.68684;149.144;13.811;>300;swift
130408A;1365450698.0;134.39808:57:35.5;-32.363-32:21:46.8;28;23+/-4;2.03183;134.488;-32.687;28;swift
130327B;1364369044.0;214.914:19:36;-74.6-74:36:00;;;;215.043;-75.346;;swift
130327A;1364345254.0;91.98406:07:56.2;55.73255:43:55.2;9.0;2.3+/-0.5;2.27626;92.045;56.289;9.0;swift
130315A;1363347932.0;157.54110:30:09.8;-51.794-51:47:38.4;233.4;49+/-2;1.95459;157.646;-52.312;233.4;swift
130313A;1363187291.0;236.43815:45:45.1;-0.355-00:21:18;0.26;0.31+/-0.07;1.6;236.596;-0.359;0.26;swift
130306A;1362610261.0;279.47518:37:54;-11.682-11:40:55.2;;;1.7411;279.661;-11.799;;swift
130305A;1362479956.0;116.77407:47:05.8;52.03752:02:13.2;;48+/-18;1.89668;116.852;52.557;;swift
130216B;1361037492.0;58.86603:55:27.8;2.03602:02:09.6;3.7;13+/-3;;58.905;2.056;3.7;swift
130216A;1361049324.0;67.90104:31:36.2;14.67014:40:12;6.5;30+/-1;;67.946;14.817;6.5;swift
130215A;1360888290.0;43.48602:53:56.6;13.38713:23:13.2;65.7;54+/-5;;43.515;13.521;65.7;swift
130211A;1360550192.0;147.52409:50:05.8;-42.330-42:19:48;25.1;6.4+/-1.0;2.20071;147.622;-42.753;25.1;swift
130206A;1360175788.0;140.38709:21:32.9;-58.193-58:11:34.8;128.0;20+/-2;;140.481;-58.775;128.0;swift
130131B;1359655808.0;173.95711:35:49.7;15.03315:01:58.8;4.30;3.4+/-0.4;2.22317;174.073;15.183;4.30;swift
130131A;1359636982.0;171.09111:24:21.8;48.06448:03:50.4;51.6;3.1+/-0.6;2.35898;171.205;48.545;51.6;swift
130122A;1358894649.0;194.30712:57:13.7;59.00359:00:10.8;64;7.4+/-1.1;1.81363;194.437;59.593;64;swift
130102A;1357146653.0;311.43520:45:44.4;49.83849:50:16.8;77.5;7.2+/-0.9;2.03149;311.643;50.336;77.5;swift
121229A;1356753621.0;190.09512:40:22.8;-50.588-50:35:16.8;;4.6+/-1.3;2.18362;190.222;-51.094;;swift
121226A;1356545383.0;168.62011:14:28.8;-30.413-30:24:46.8;1.00;1.4+/-0.2;2.50163;168.732;-30.717;1.00;swift
121217A;1355725067.0;153.70810:14:49.9;-62.354-62:21:14.4;778;62+/-3;1.94438;153.81;-62.978;778;swift
121212A;1355291773.0;177.78711:51:08.9;78.05278:03:07.2;6.8;1.2+/-0.3;2.41414;177.906;78.833;6.8;swift
121211A;1355230022.0;195.57513:02:18;30.17330:10:22.8;182;13+/-2.67;2.0682;195.705;30.475;182;swift
121209A;1355086751.0;326.80021:47:12;-8.232-08:13:55.2;42.7;29+/-1;2.29895;327.018;-8.314;42.7;swift
121202A;1354418405.0;256.79017:07:09.6;23.94223:56:31.2;20.1;12+/-1;2.1302;256.961;24.181;20.1;swift
121201A;1354361142.0;13.47300:53:53.5;-42.929-42:55:44.4;85;7.8+/-1.0;1.62244;13.482;-43.358;85;swift
121128A;1354075537.0;300.58920:02:21.4;54.30154:18:03.6;23.3;69+/-4;1.98504;300.789;54.844;23.3;swift
121125A;1353828747.0;228.51915:14:04.6;55.31855:19:04.8;52.2;47+/-1;2.15112;228.671;55.871;52.2;swift
121123A;1353661361.0;307.33420:29:20.2;-11.873-11:52:22.8;317;150+/-10;1.93494;307.539;-11.992;317;swift
121117A;1353138656.0;31.61702:06:28.1;7.43207:25:55.2;30;14+/-2;2.07779;31.638;7.506;30;swift
121108A;1352393259.0;83.21605:32:51.8;54.52054:31:12;89;9.6+/-1.2;1.6975;83.271;55.065;89;swift
121102A;1351819622.0;270.89618:03:35;-16.951-16:57:03.6;24.7;19+/-1;1.77855;271.077;-17.121;24.7;swift
121031A;1351720230.0;170.77211:23:05.3;-3.513-03:30:46.8;226;78+/-2;2.33292;170.886;-3.548;226;swift
121028A;1351397071.0;271.90318:07:36.7;-2.298-02:17:52.8;3.8;3.7+/-0.4;1.62816;272.084;-2.321;3.8;swift
121027A;1351315949.0;63.59804:14:23.5;-58.839-58:50:20.4;62.6;20+/-1;2.37144;63.64;-59.427;62.6;swift
121025A;1351143990.0;248.7516:34:60;27.7327:43:48;;;3.0398;248.916;28.007;;swift
121024A;1351040172.0;70.48104:41:55.4;-12.255-12:15:18;69;11+/-1;2.00683;70.528;-12.378;69;swift
121017A;1350494608.0;288.82019:15:16.8;-1.602-01:36:07.2;4.2;6.6+/-0.7;2.14409;289.013;-1.618;4.2;swift
121014A;1350238316.0;166.64511:06:34.8;-29.105-29:06:18;80.0;11+/-1;;166.756;-29.396;80.0;swift
121011A;1349946930.0;260.20417:20:49;41.12341:07:22.8;75.6;27+/-7;1.72814;260.377;41.534;75.6;swift
121001A;1349108582.0;276.02918:24:07;-5.667-05:40:01.2;147;17+/-2;1.26899;276.213;-5.724;147;swift
120927A;1348778446.0;136.60609:06:25.4;0.42000:25:12;43;26+/-3;1.7477;136.697;0.424;43;swift
120923A;1348370166.0;303.78120:15:07.4;6.25506:15:18;27.2;3.2+/-0.8;1.735;303.984;6.318;27.2;swift
120922A;1348345828.0;234.75815:39:01.9;-20.181-20:10:51.6;173;62+/-7;2.06954;234.915;-20.383;173;swift
120918A;1347959770.0;181.04212:04:10.1;-32.762-32:45:43.2;25.1;37+/-6;;181.163;-33.09;25.1;swift
120913B;1347573358.0;213.66014:14:38.4;-14.508-14:30:28.8;126;111+/-2;;213.802;-14.653;126;swift
120913A;1347560301.0;146.40009:45:36;26.95926:57:32.4;30.1;8.7+/-0.8;;146.498;27.229;30.1;swift
120911A;1347340113.0;357.96623:51:51.8;63.09063:05:24;17.8;11+/-1;2.0211;358.205;63.721;17.8;swift
120909A;1347147723.0;275.73518:22:56.4;-59.432-59:25:55.2;;68+/-2;2.06709;275.919;-60.026;;swift
120907A;1346970263.0;74.73604:58:56.6;-9.323-09:19:22.8;16.9;6.7+/-1.1;1.82021;74.786;-9.416;16.9;swift
120819A;1345374614.0;235.88715:43:32.9;-7.304-07:18:14.4;71;14+/-2;1.719;236.044;-7.377;71;swift
120817B;1345168949.0;8.31000:33:14.4;-26.428-26:25:40.8;;1.7+/-0.4;;8.316;-26.692;;swift
120817A;1345178982.0;250.69216:42:46.1;-38.377-38:22:37.2;28.2;6.9+/-0.6;2.01734;250.859;-38.761;28.2;swift
120816A;1345137514.0;282.13318:48:31.9;-6.981-06:58:51.6;7.6;4.3+/-1.0;2.09549;282.321;-7.051;7.6;swift
120815A;1344989638.0;273.97618:15:54.2;-52.125-52:07:30;9.7;4.9+/-0.7;1.84293;274.159;-52.646;9.7;swift
120811C;1344692092.0;199.69013:18:45.6;62.29762:17:49.2;26.8;30+/-3;1.92121;199.823;62.92;26.8;swift
120811A;1344645318.0;257.18417:08:44.2;-22.735-22:44:06;166;11+/-1;1.99897;257.355;-22.962;166;swift
120807A;1344316177.0;241.27316:05:05.5;-47.455-47:27:18;20.0;2.9+/-0.5;2.32654;241.434;-47.93;20.0;swift
120805A;1344194889.0;216.53614:26:08.6;5.85305:51:10.8;48.00;8.2+/-1.4;1.62881;216.68;5.912;48.00;swift
